data,blur,noise,method,image_index,rel_primal_error_K,oracle_K
real,train,train,learned-warped-bv,42,0.0002209031954407692,4000
real,train,train,learned-warped-bv,43,9.476232662564144e-05,4000
real,train,train,learned-warped-bv,44,0.00013174113701097667,4000
real,train,train,learned-warped-bv,45,0.0001573440822539851,4000
real,train,train,learned-warped-bv,46,0.0023304251953959465,4000
real,train,train,learned-warped-bv,47,7.153824844863266e-05,4000
real,train,train,learned-warped-bv,48,6.34069147054106e-05,4000
real,train,train,learned-warped-bv,49,6.371553899953142e-05,4000
real,train,train,learned-warped-bv,50,0.00023157989198807627,4000
real,train,train,learned-warped-bv,51,0.00020501807739492506,4000
real,train,train,learned-warped-bv,52,0.00020768563263118267,4000
real,train,train,learned-warped-bv,53,0.0004420829936861992,4000
real,train,train,learned-warped-bv,54,6.0470141761470586e-05,4000
real,train,train,learned-warped-bv,55,0.0002551655052229762,4000
real,train,train,learned-warped-bv,56,0.00010551651212153956,4000
real,train,train,learned-warped-bv,57,0.00020128700998611748,4000
real,train,train,learned-warped-bv,58,0.00018650268611963838,4000
real,train,train,learned-warped-bv,59,8.112609793897718e-05,4000
real,train,train,learned-warped-bv,60,0.00026449677534401417,4000
real,train,train,learned-warped-bv,61,8.171609078999609e-05,4000
real,train,train,learned-warped-bv,62,0.0003333276545163244,4000
real,train,train,learned-warped-bv,63,6.164464866742492e-05,4000
real,train,train,Condat-Vu/PDHG,0,0.00017844399553723633,3999
real,train,train,Condat-Vu/PDHG,1,8.845244155963883e-05,3999
real,train,train,Condat-Vu/PDHG,2,9.7237279987894e-05,3999
real,train,train,Condat-Vu/PDHG,3,4.1915867768693715e-05,3999
real,train,train,Condat-Vu/PDHG,4,3.744020432350226e-05,3999
real,train,train,Condat-Vu/PDHG,5,8.597753912908956e-05,3999
real,train,train,Condat-Vu/PDHG,6,0.00012537982547655702,3999
real,train,train,Condat-Vu/PDHG,7,0.0011108859907835722,3999
real,train,train,Condat-Vu/PDHG,8,6.077121724956669e-05,3999
real,train,train,Condat-Vu/PDHG,9,0.00014826575352344662,3999
real,train,train,Condat-Vu/PDHG,10,6.778820534236729e-05,3999
real,train,train,Condat-Vu/PDHG,11,0.0001532507740193978,3999
real,train,train,Condat-Vu/PDHG,12,9.201518696499988e-05,3999
real,train,train,Condat-Vu/PDHG,13,0.000145716083352454,3999
real,train,train,Condat-Vu/PDHG,14,0.00011259627353865653,3999
real,train,train,Condat-Vu/PDHG,15,6.351363117573783e-05,3999
real,train,train,Condat-Vu/PDHG,16,7.33206543372944e-05,3999
real,train,train,Condat-Vu/PDHG,17,5.742166467825882e-05,3999
real,train,train,Condat-Vu/PDHG,18,0.00021001137793064117,3999
real,train,train,Condat-Vu/PDHG,19,0.0025449395179748535,3999
real,train,train,Condat-Vu/PDHG,20,5.4156345868250355e-05,3999
real,train,train,Condat-Vu/PDHG,21,0.00047902303049340844,3999
real,train,train,Condat-Vu/PDHG,22,0.0002454109489917755,3999
real,train,train,Condat-Vu/PDHG,23,8.075396181084216e-05,3999
real,train,train,Condat-Vu/PDHG,24,8.325235103257e-05,3999
real,train,train,Condat-Vu/PDHG,25,0.0006116481963545084,3999
real,train,train,Condat-Vu/PDHG,26,0.0006732145557180047,3999
real,train,train,Condat-Vu/PDHG,27,9.23034967854619e-05,3999
real,train,train,Condat-Vu/PDHG,28,0.00036221923073753715,3999
real,train,train,Condat-Vu/PDHG,29,0.0002637314610183239,3999
real,train,train,Condat-Vu/PDHG,30,6.367629976011813e-05,3999
real,train,train,Condat-Vu/PDHG,31,7.549710426246747e-05,3999
real,train,train,Condat-Vu/PDHG,32,0.00014807305706199259,3999
real,train,train,Condat-Vu/PDHG,33,5.683011477231048e-05,3999
real,train,train,Condat-Vu/PDHG,34,0.0002115564129780978,3999
real,train,train,Condat-Vu/PDHG,35,5.1481732953106984e-05,3999
real,train,train,Condat-Vu/PDHG,36,0.00013921533536631614,3999
real,train,train,Condat-Vu/PDHG,37,0.00014153840311337262,3999
real,train,train,Condat-Vu/PDHG,38,5.47142444702331e-05,3999
real,train,train,Condat-Vu/PDHG,39,8.685351349413395e-05,3999
real,train,train,Condat-Vu/PDHG,40,3.103206108789891e-05,3999
real,train,train,Condat-Vu/PDHG,41,0.0001362242182949558,3999
real,train,train,Condat-Vu/PDHG,42,0.0003644917451310903,3999
real,train,train,Condat-Vu/PDHG,43,6.493020191555843e-05,3999
real,train,train,Condat-Vu/PDHG,44,9.044722537510097e-05,3999
real,train,train,Condat-Vu/PDHG,45,9.149923425866291e-05,3999
real,train,train,Condat-Vu/PDHG,46,0.0024123145267367363,3999
real,train,train,Condat-Vu/PDHG,47,4.5493357902159914e-05,3999
real,train,train,Condat-Vu/PDHG,48,5.2893999963998795e-05,3999
real,train,train,Condat-Vu/PDHG,49,3.255114279454574e-05,3999
real,train,train,Condat-Vu/PDHG,50,0.00024201790802180767,3999
real,train,train,Condat-Vu/PDHG,51,0.00023450782464351505,3999
