method,instance,rel_error,merit
fixed-warped-FBHF,56,7.580702003906481e-06,3.667589396627591e-07
fixed-warped-FBHF,57,7.578823442599969e-06,8.823366783872189e-07
fixed-warped-FBHF,58,7.938484486658126e-06,5.788014618701709e-07
fixed-warped-FBHF,59,8.122196959448047e-06,3.4781115232362936e-07
fixed-warped-FBHF,60,8.087352398433723e-06,6.588861083400843e-07
fixed-warped-FBHF,61,8.802552656561602e-06,2.7524046686266956e-07
fixed-warped-FBHF,62,7.972253115440253e-06,2.568453965068329e-07
fixed-warped-FBHF,63,8.1678799688234e-06,3.3022041634467314e-07
Tseng-FBF,0,0.32703566551208496,0.07635288685560226
Tseng-FBF,1,0.3308100402355194,0.06857399642467499
Tseng-FBF,2,0.3588393032550812,0.06764234602451324
Tseng-FBF,3,0.3346731960773468,0.11101526021957397
Tseng-FBF,4,0.3615223169326782,0.06593401730060577
Tseng-FBF,5,0.3431742787361145,0.08906934410333633
Tseng-FBF,6,0.3335219621658325,0.06902028620243073
Tseng-FBF,7,0.33955973386764526,0.07628946006298065
Tseng-FBF,8,0.3401153087615967,0.06469650566577911
Tseng-FBF,9,0.3529367446899414,0.07393845170736313
Tseng-FBF,10,0.3544594347476959,0.06860464811325073
Tseng-FBF,11,0.3381637632846832,0.09866920858621597
Tseng-FBF,12,0.3304373323917389,0.08683054149150848
Tseng-FBF,13,0.3347780406475067,0.07965880632400513
Tseng-FBF,14,0.3568623960018158,0.07552534341812134
Tseng-FBF,15,0.332972913980484,0.07100376486778259
Tseng-FBF,16,0.36849531531333923,0.09646198153495789
Tseng-FBF,17,0.3397006094455719,0.10648869723081589
Tseng-FBF,18,0.3630857467651367,0.06233862042427063
Tseng-FBF,19,0.37095534801483154,0.07393867522478104
Tseng-FBF,20,0.33821722865104675,0.0777127593755722
Tseng-FBF,21,0.34378376603126526,0.07510417699813843
Tseng-FBF,22,0.34969624876976013,0.09730816632509232
Tseng-FBF,23,0.35626330971717834,0.07596732676029205
Tseng-FBF,24,0.3461157977581024,0.07698172330856323
Tseng-FBF,25,0.35960206389427185,0.09444896131753922
Tseng-FBF,26,0.3512876331806183,0.07886068522930145
Tseng-FBF,27,0.3587445914745331,0.09825577586889267
Tseng-FBF,28,0.35156145691871643,0.08083350956439972
Tseng-FBF,29,0.3739415109157562,0.08334815502166748
Tseng-FBF,30,0.3316176235675812,0.08833493292331696
Tseng-FBF,31,0.347935289144516,0.06964415311813354
Tseng-FBF,32,0.3474206030368805,0.07719659805297852
Tseng-FBF,33,0.34257736802101135,0.09283948689699173
Tseng-FBF,34,0.35321494936943054,0.0802384614944458
Tseng-FBF,35,0.3643381893634796,0.07483093440532684
Tseng-FBF,36,0.3420955538749695,0.08953645080327988
Tseng-FBF,37,0.35904210805892944,0.10993121564388275
Tseng-FBF,38,0.3592953085899353,0.07488901168107986
Tseng-FBF,39,0.34035447239875793,0.08106929808855057
Tseng-FBF,40,0.32964882254600525,0.08251724392175674
Tseng-FBF,41,0.35013991594314575,0.06794355809688568
Tseng-FBF,42,0.3437781035900116,0.07104865461587906
Tseng-FBF,43,0.33567821979522705,0.078208789229393
Tseng-FBF,44,0.3385450839996338,0.09625550359487534
Tseng-FBF,45,0.3552422821521759,0.0911317765712738
Tseng-FBF,46,0.3266734480857849,0.07549011707305908
Tseng-FBF,47,0.32763174176216125,0.08846988528966904
Tseng-FBF,48,0.3603840470314026,0.06257369369268417
Tseng-FBF,49,0.35385775566101074,0.07807543873786926
Tseng-FBF,50,0.3326629102230072,0.10559659451246262
Tseng-FBF,51,0.35475438833236694,0.07459045201539993
Tseng-FBF,52,0.36257025599479675,0.08043230324983597
Tseng-FBF,53,0.3604258596897125,0.08728652447462082
Tseng-FBF,54,0.35537153482437134,0.08944503962993622
Tseng-FBF,55,0.33120885491371155,0.09649781137704849
Tseng-FBF,56,0.3371116816997528,0.09562777727842331
Tseng-FBF,57,0.34316501021385193,0.07148769497871399
Tseng-FBF,58,0.36282262206077576,0.08363036066293716
Tseng-FBF,59,0.3623732328414917,0.06417408585548401
Tseng-FBF,60,0.36135679483413696,0.07059348374605179
Tseng-FBF,61,0.35450035333633423,0.06275162845849991
Tseng-FBF,62,0.36363139748573303,0.07945916801691055
Tseng-FBF,63,0.36019182205200195,0.08316715061664581
extragradient,0,0.3270449936389923,0.0763990506529808
extragradient,1,0.33081716299057007,0.06861160695552826
extragradient,2,0.35884323716163635,0.06767497956752777
extragradient,3,0.3346799314022064,0.11107836663722992
extragradient,4,0.36152514815330505,0.06596579402685165
extragradient,5,0.34317946434020996,0.08910428732633591
extragradient,6,0.333528995513916,0.06906890869140625
extragradient,7,0.33956801891326904,0.07633589953184128
extragradient,8,0.3401222229003906,0.06473605334758759
extragradient,9,0.35294032096862793,0.0739629715681076
extragradient,10,0.35446256399154663,0.06864405423402786
extragradient,11,0.3381716310977936,0.09872434288263321
extragradient,12,0.33044514060020447,0.08686313033103943
extragradient,13,0.33478447794914246,0.07969281822443008
extragradient,14,0.3568652272224426,0.07556375116109848
extragradient,15,0.3329821527004242,0.07104168832302094
extragradient,16,0.36849796772003174,0.09651884436607361
extragradient,17,0.3397080600261688,0.1065375879406929
extragradient,18,0.36308881640434265,0.06236330419778824
extragradient,19,0.3709569573402405,0.07396501302719116
extragradient,20,0.3382224440574646,0.0777534693479538
extragradient,21,0.3437895178794861,0.07514820992946625
extragradient,22,0.3497008681297302,0.09735353291034698
extragradient,23,0.35626673698425293,0.07600130885839462
extragradient,24,0.34612151980400085,0.07702118158340454
extragradient,25,0.3596068322658539,0.09450308978557587
extragradient,26,0.3512941896915436,0.07890120893716812
extragradient,27,0.35874858498573303,0.098291777074337
extragradient,28,0.3515653610229492,0.0808754488825798
extragradient,29,0.37394335865974426,0.08339691162109375
extragradient,30,0.3316258192062378,0.08837646245956421
extragradient,31,0.3479401171207428,0.06967556476593018
extragradient,32,0.3474251627922058,0.0772341638803482
extragradient,33,0.3425823748111725,0.09288113564252853
extragradient,34,0.3532199263572693,0.08028841018676758
extragradient,35,0.3643414378166199,0.07487160712480545
extragradient,36,0.3421025574207306,0.08958615362644196
extragradient,37,0.3590441942214966,0.10998815298080444
extragradient,38,0.3592989146709442,0.07492593675851822
extragradient,39,0.3403593599796295,0.08111639320850372
extragradient,40,0.3296543061733246,0.08255721628665924
extragradient,41,0.35014551877975464,0.06798212230205536
extragradient,42,0.34378528594970703,0.07108859717845917
extragradient,43,0.3356841802597046,0.07825345546007156
extragradient,44,0.33854934573173523,0.09631093591451645
extragradient,45,0.35524722933769226,0.09117492288351059
extragradient,46,0.3266819417476654,0.07553178817033768
extragradient,47,0.3276441693305969,0.08852028846740723
extragradient,48,0.3603873550891876,0.0626041442155838
extragradient,49,0.3538617193698883,0.07811612635850906
extragradient,50,0.332670658826828,0.10565837472677231
extragradient,51,0.35475870966911316,0.07462930679321289
extragradient,52,0.36257240176200867,0.08046761155128479
extragradient,53,0.3604298532009125,0.0873296707868576
extragradient,54,0.35537606477737427,0.08949022740125656
extragradient,55,0.3312205374240875,0.09654812514781952
extragradient,56,0.33711642026901245,0.09566731005907059
extragradient,57,0.34317174553871155,0.07152300328016281
extragradient,58,0.36282673478126526,0.08368557691574097
extragradient,59,0.36237743496894836,0.06420598924160004
extragradient,60,0.3613598942756653,0.07063257694244385
extragradient,61,0.3545043170452118,0.06277493387460709
extragradient,62,0.36363649368286133,0.07949090749025345
extragradient,63,0.36019501090049744,0.08320153504610062
FRB,0,0.4845443367958069,0.12107597291469574
FRB,1,0.49365904927253723,0.1078842356801033
