data,blur,noise,c,method,image_index,oracle_K,rel_primal_error_K
real,train,train,0.5,Condat-Vu/PDHG,0,3999,8.656497811898589e-05
real,train,train,0.5,Condat-Vu/PDHG,1,3999,6.367410969687626e-05
real,train,train,0.5,Condat-Vu/PDHG,2,3999,2.2060421542846598e-05
real,train,train,0.5,Condat-Vu/PDHG,3,3999,2.7864263756782748e-05
real,train,train,0.5,Condat-Vu/PDHG,4,3999,2.5515610104775988e-05
real,train,train,0.5,Condat-Vu/PDHG,5,3999,6.166635284898803e-05
real,train,train,0.5,Condat-Vu/PDHG,6,3999,0.00011113590880995616
real,train,train,0.5,Condat-Vu/PDHG,7,3999,6.39887002762407e-05
real,train,train,0.5,Condat-Vu/PDHG,8,3999,4.3409545469330624e-05
real,train,train,0.5,Condat-Vu/PDHG,9,3999,5.33950915269088e-05
real,train,train,0.5,Condat-Vu/PDHG,10,3999,3.207942427252419e-05
real,train,train,0.5,Condat-Vu/PDHG,11,3999,9.855809184955433e-05
real,train,train,0.5,Condat-Vu/PDHG,12,3999,6.213734013726935e-05
real,train,train,0.5,Condat-Vu/PDHG,13,3999,5.2379167755134404e-05
real,train,train,0.5,Condat-Vu/PDHG,14,3999,8.72973760124296e-05
real,train,train,0.5,Condat-Vu/PDHG,15,3999,8.192718087229878e-05
real,train,train,0.5,Condat-Vu/PDHG,16,3999,7.008350075921044e-05
real,train,train,0.5,Condat-Vu/PDHG,17,3999,3.946730066672899e-05
real,train,train,0.5,Condat-Vu/PDHG,18,3999,0.00017079284589271992
real,train,train,0.5,Condat-Vu/PDHG,19,3999,0.0001146854119724594
real,train,train,0.5,Condat-Vu/PDHG,20,3999,3.728220326593146e-05
real,train,train,0.5,Condat-Vu/PDHG,21,3999,8.763844380155206e-05
real,train,train,0.5,Condat-Vu/PDHG,22,3999,0.00023726184736005962
real,train,train,0.5,Condat-Vu/PDHG,23,3999,4.6587709221057594e-05
real,train,train,0.5,Condat-Vu/PDHG,24,3999,5.653585321852006e-05
real,train,train,0.5,Condat-Vu/PDHG,25,3999,5.3252108045853674e-05
real,train,train,0.5,Condat-Vu/PDHG,26,3999,0.00015868178161326796
real,train,train,0.5,Condat-Vu/PDHG,27,3999,7.657930109417066e-05
real,train,train,0.5,Condat-Vu/PDHG,28,3999,0.0001700264838291332
real,train,train,0.5,Condat-Vu/PDHG,29,3999,0.00022922694915905595
real,train,train,0.5,Condat-Vu/PDHG,30,3999,4.308241477701813e-05
real,train,train,0.5,Condat-Vu/PDHG,31,3999,5.700655310647562e-05
real,train,train,0.5,Condat-Vu/PDHG,32,3999,9.805336594581604e-05
real,train,train,0.5,Condat-Vu/PDHG,33,3999,4.02856785512995e-05
real,train,train,0.5,Condat-Vu/PDHG,34,3999,4.849552715313621e-05
real,train,train,0.5,Condat-Vu/PDHG,35,3999,3.645254400908016e-05
real,train,train,0.5,Condat-Vu/PDHG,36,3999,0.00011424165131757036
real,train,train,0.5,Condat-Vu/PDHG,37,3999,5.2241241064621136e-05
real,train,train,0.5,Condat-Vu/PDHG,38,3999,3.646924233180471e-05
real,train,train,0.5,Condat-Vu/PDHG,39,3999,6.748371379217133e-05
real,train,train,0.5,Condat-Vu/PDHG,40,3999,2.3155160306487232e-05
real,train,train,0.5,Condat-Vu/PDHG,41,3999,0.00011149032798130065
real,train,train,0.5,Condat-Vu/PDHG,42,3999,9.445916657568887e-05
real,train,train,0.5,Condat-Vu/PDHG,43,3999,3.847009429591708e-05
real,train,train,0.5,Condat-Vu/PDHG,44,3999,5.82083739573136e-05
real,train,train,0.5,Condat-Vu/PDHG,45,3999,6.117759039625525e-05
real,train,train,0.5,Condat-Vu/PDHG,46,3999,0.00022575502225663513
real,train,train,0.5,Condat-Vu/PDHG,47,3999,3.206363180652261e-05
real,train,train,0.5,Condat-Vu/PDHG,48,3999,3.557640593498945e-05
