data,blur,noise,image_index,fbhf_vs_pdhg_ref_rel_gap,fbhf_minus_pdhg_obj
synthetic,train,train,20,0.001458199112676084,4.76837158203125e-05
synthetic,train,train,21,0.00023501015675719827,8.7738037109375e-05
synthetic,train,train,22,0.0019530721474438906,0.0002765655517578125
synthetic,train,train,23,0.0005181133165024221,0.0002460479736328125
synthetic,train,train,24,0.0008541913121007383,0.0006711483001708984
synthetic,train,train,25,0.000204211930395104,0.0001201629638671875
synthetic,train,train,26,0.0048865363933146,0.00022125244140625
synthetic,train,train,27,0.00021364876010920852,0.00015926361083984375
synthetic,train,train,28,0.0009634696180000901,0.000133514404296875
synthetic,train,train,29,0.0007498258491978049,0.0004191398620605469
synthetic,train,train,30,0.002434658817946911,0.0002803802490234375
synthetic,train,train,31,0.0015909593785181642,0.0002899169921875
synthetic,train,train,32,0.005257591139525175,0.00022125244140625
synthetic,train,train,33,0.0004678230034187436,0.00017833709716796875
synthetic,train,train,34,0.0002221411414211616,6.866455078125e-05
synthetic,train,train,35,0.00022998412896413356,9.441375732421875e-05
synthetic,train,train,36,0.00015906016051303595,0.00015926361083984375
synthetic,train,train,37,0.002639317186549306,0.00010585784912109375
synthetic,train,train,38,0.0033504122402518988,0.0001430511474609375
synthetic,train,train,39,6.125992513261735e-05,8.7738037109375e-05
synthetic,train,train,40,0.000737035064958036,0.0001659393310546875
synthetic,train,train,41,0.0001620918046683073,6.008148193359375e-05
synthetic,train,train,42,9.774688078323379e-05,7.915496826171875e-05
synthetic,train,train,43,0.00013079600466880947,0.00016689300537109375
synthetic,train,train,44,0.00019974792667198926,0.0001506805419921875
synthetic,train,train,45,0.0001023798031383194,9.5367431640625e-05
synthetic,train,train,46,0.0002355716424062848,0.000141143798828125
synthetic,train,train,47,0.0002218074951088056,0.000194549560546875
synthetic,train,train,48,0.0004153012705501169,4.9591064453125e-05
synthetic,train,train,49,0.00018762984836939722,8.20159912109375e-05
synthetic,train,train,50,0.0001540364173706621,7.05718994140625e-05
synthetic,train,train,51,0.0005587749765254557,0.00010776519775390625
synthetic,train,train,52,0.0005291998386383057,0.000209808349609375
synthetic,train,train,53,0.00019584498659241945,9.250640869140625e-05
synthetic,train,train,54,0.0003637260524556041,7.62939453125e-05
synthetic,train,train,55,0.0008298178436234593,9.5367431640625e-05
synthetic,train,train,56,0.0003494835691526532,0.0001811981201171875
synthetic,train,train,57,0.000557118677534163,0.00016307830810546875
synthetic,train,train,58,0.0014525887090712786,7.43865966796875e-05
synthetic,train,train,59,0.00013335523544810712,0.00012969970703125
synthetic,train,train,60,0.00012233514280524105,0.00019073486328125
synthetic,train,train,61,6.36320692137815e-05,2.288818359375e-05
synthetic,train,train,62,0.0001872339635156095,0.000179290771484375
synthetic,train,train,63,0.00013338899589143693,8.20159912109375e-05
