method,init_id,initial_free_coordinate,iteration,distance_to_min_norm,residual,free_coordinate,z1,z2,z3,z4
plain-FBHF,0,-3.0,15,3.149694544840498,0.3539105586937546,-3.0,0.9453120035662346,0.12040074249772328,0.11164498608348042,-3.0
plain-FBHF,0,-3.0,16,3.1335249437695665,0.3342273504635072,-3.0,0.871651543003574,-0.2252075497064299,0.09210711351887135,-3.0
plain-FBHF,0,-3.0,17,3.1191578917947793,0.3156659130751375,-3.0,0.6860515865883856,-0.5026976649186432,0.07598836865306886,-3.0
plain-FBHF,0,-3.0,18,3.106371495737208,0.29815480731101385,-3.0,0.4260660845097832,-0.6812352562720444,0.06269040413878181,-3.0
plain-FBHF,0,-3.0,19,3.0949780696324507,0.28162917435529833,-3.0,0.13544064946211928,-0.746907066957143,0.05171958341449499,-3.0
plain-FBHF,0,-3.0,20,3.084816933081692,0.2660296389189648,-3.0,-0.14256830353199038,-0.7028151785666348,0.04266865631695837,-3.0
plain-FBHF,0,-3.0,21,3.075749130669274,0.2513014768079575,-3.0,-0.3710889988476437,-0.5668214129560254,0.03520164146149066,-3.0
plain-FBHF,0,-3.0,22,3.0676535039987085,0.23739397585260796,-3.0,-0.5240180910234162,-0.367504640272237,0.029041354205729793,-3.0
plain-FBHF,0,-3.0,23,3.0604237203848212,0.22425993860060645,-3.0,-0.5884524989683306,-0.13907898998069232,0.02395911721972708,-3.0
plain-FBHF,0,-3.0,24,3.0539659827668166,0.21185528933756245,-3.0,-0.5650447143379524,0.0839165609308582,0.01976627170627484,-3.0
plain-FBHF,0,-3.0,25,3.0481972292791766,0.20013875827338667,-3.0,-0.4664559405057529,0.2714024322351114,0.016307174157676744,-3.0
plain-FBHF,0,-3.0,26,3.043043689093624,0.1890716231766818,-3.0,-0.31432423651150915,0.40141521346332376,0.013453418680083314,-3.0
plain-FBHF,0,-3.0,27,3.038439701399213,0.17861749412785086,-3.0,-0.13532419282668595,0.4622553325930948,0.011099070411068734,-3.0
plain-FBHF,0,-3.0,28,3.034326732192776,0.1687421309601269,-3.0,0.043042387202166243,0.4529925218397808,0.009156733089131706,-3.0
plain-FBHF,0,-3.0,29,3.0306525427404805,0.15941328577756383,-3.0,0.19631707741382415,0.3824361023936495,0.007554304798533657,-3.0
plain-FBHF,0,-3.0,30,3.0273704768133842,0.15060056497876367,-3.0,0.30612087126840803,0.26687670275558895,0.006232301458790267,-3.0
plain-FBHF,0,-3.0,31,3.024438842948597,0.14227530669108707,-3.0,0.3620279105024842,0.1270420017240865,0.005141648703501971,-3.0
plain-FBHF,0,-3.0,32,3.0218203743243928,0.1344104705888227,-3.0,0.36214419206936016,-0.015230412162983539,0.004241860180389126,-3.0
plain-FBHF,0,-3.0,33,3.019481753245772,0.12698053784344832,-3.0,0.31245088428381934,-0.14011515389729412,0.0034995346488210285,-3.0
plain-FBHF,0,-3.0,34,3.0173931903237374,0.11996141951641982,-3.0,0.22513534709499852,-0.23230885704421236,0.0028871160852773485,-3.0
plain-FBHF,0,-3.0,35,3.0155280506132547,0.1133303721138985,-3.0,0.11624816711038691,-0.28264839353954585,0.0023818707703538123,-3.0
plain-FBHF,0,-3.0,36,3.013862520536198,0.10706591932105006,-3.0,0.003080828900523481,-0.2887108238195869,0.0019650433855418954,-3.0
plain-FBHF,0,-3.0,37,3.0123753105508952,0.10114777915175258,-3.0,-0.09834536097664605,-0.25442203801687074,0.0016211607930720637,-3.0
plain-FBHF,0,-3.0,38,3.011047389371483,0.09555679590989469,-3.0,-0.17534576756291168,-0.18883446201797796,0.0013374576542844526,-3.0
plain-FBHF,0,-3.0,39,3.00986174617824,0.09027487647692582,-3.0,-0.21995797274274728,-0.10433122177375659,0.0011034025647846733,-3.0
plain-FBHF,0,-3.0,40,3.0088031777555,0.08528493052846514,-3.0,-0.22952904870257557,-0.014565356646509863,0.0009103071159473555,-3.0
plain-FBHF,0,-3.0,41,3.00785809788828,0.08057081434891371,-3.0,-0.20650961506278853,0.06755406658858905,0.0007510033706565682,-3.0
plain-FBHF,0,-3.0,42,3.0070143666706093,0.0761172779631445,-3.0,-0.15756826391159076,0.13155705870346288,0.0006195777807916688,-3.0
