method,instance,rel_error,merit
FRB,24,0.8844165802001953,0.2105012834072113
FRB,25,0.8948757648468018,0.23499485850334167
FRB,26,0.8842096328735352,0.17513735592365265
FRB,27,0.8794843554496765,0.230032280087471
FRB,28,0.899673581123352,0.2158520370721817
FRB,29,0.8871369957923889,0.21443693339824677
FRB,30,0.8857383131980896,0.204056516289711
FRB,31,0.8805223703384399,0.18817120790481567
FRB,32,0.8851739764213562,0.18492262065410614
FRB,33,0.8861732482910156,0.20580101013183594
FRB,34,0.8809391260147095,0.2052495926618576
FRB,35,0.8738520741462708,0.19753828644752502
FRB,36,0.8910384774208069,0.2142648994922638
FRB,37,0.8960824608802795,0.2946521043777466
FRB,38,0.887661337852478,0.21040795743465424
FRB,39,0.8776639103889465,0.213114932179451
FRB,40,0.87050461769104,0.20890794694423676
FRB,41,0.898806095123291,0.1725570559501648
FRB,42,0.8828750252723694,0.1778857409954071
FRB,43,0.8842467069625854,0.19300734996795654
FRB,44,0.8796352744102478,0.24990585446357727
FRB,45,0.8868385553359985,0.22326090931892395
FRB,46,0.8864122629165649,0.18522658944129944
FRB,47,0.8843485116958618,0.19418954849243164
FRB,48,0.8894444108009338,0.16785332560539246
FRB,49,0.8866106271743774,0.19632002711296082
FRB,50,0.8822364211082458,0.25034087896347046
FRB,51,0.8882099390029907,0.18854142725467682
FRB,52,0.8791722059249878,0.2152424454689026
FRB,53,0.8890120983123779,0.22269408404827118
FRB,54,0.8895829916000366,0.20402443408966064
FRB,55,0.8935456275939941,0.2218559980392456
FRB,56,0.8881714940071106,0.2407524138689041
FRB,57,0.8829695582389832,0.1788061410188675
FRB,58,0.8809458017349243,0.21844592690467834
FRB,59,0.8916183114051819,0.1711307018995285
FRB,60,0.8867454528808594,0.18149377405643463
FRB,61,0.8921869993209839,0.1638009399175644
FRB,62,0.8900858759880066,0.1867222934961319
FRB,63,0.8868947625160217,0.20811136066913605
learned-warped-FBHF,0,0.0018727011047303677,0.00019354265532456338
learned-warped-FBHF,1,0.0018553041154518723,0.0001107667267206125
learned-warped-FBHF,2,0.001901527983136475,0.0001389592362102121
learned-warped-FBHF,3,0.0019349126378074288,0.00018736938363872468
learned-warped-FBHF,4,0.0018528567161411047,0.00012055803381372243
learned-warped-FBHF,5,0.001955599756911397,0.00014491348701994866
learned-warped-FBHF,6,0.0019767519552260637,0.0001287309714825824
learned-warped-FBHF,7,0.0018723176326602697,0.00012789083120878786
learned-warped-FBHF,8,0.0018316335044801235,0.00013173506886232644
learned-warped-FBHF,9,0.0018441606080159545,0.00012821929703932256
learned-warped-FBHF,10,0.0018550967797636986,0.0001339454756816849
learned-warped-FBHF,11,0.0018142794724553823,0.00014492015179712325
learned-warped-FBHF,12,0.0019055588636547327,0.00012796020018868148
learned-warped-FBHF,13,0.00194934185128659,0.0001250035420525819
learned-warped-FBHF,14,0.0017926194705069065,0.00014953376376070082
learned-warped-FBHF,15,0.0019999886862933636,0.0001297943526878953
learned-warped-FBHF,16,0.0019282168941572309,0.00019165565026924014
learned-warped-FBHF,17,0.001963269431143999,0.00015928626817185432
learned-warped-FBHF,18,0.0019052104325965047,0.00013688282342627645
learned-warped-FBHF,19,0.0019010280957445502,0.00015058639110065997
learned-warped-FBHF,20,0.0019328369526192546,0.0001275411486858502
learned-warped-FBHF,21,0.0019424031488597393,0.00012332224287092686
learned-warped-FBHF,22,0.0018658905755728483,0.00013681188283953816
