data,blur,noise,mode,c,method,image_index,oracle_K,network_forward_K,backtracks_K,rel_primal_error_K
real,motion,high,bv,0.5,fixed-precond,26,4000,0,0,0.00014028637087903917
real,motion,high,bv,0.5,fixed-precond,27,4000,0,0,0.04682683199644089
real,motion,high,bv,0.5,fixed-precond,28,4000,0,0,0.23657238483428955
real,motion,high,bv,0.5,fixed-precond,29,4000,0,0,0.00013894459698349237
real,motion,high,bv,0.5,fixed-precond,30,4000,0,0,9.4273840659298e-05
real,motion,high,bv,0.5,fixed-precond,31,4000,0,0,0.00023975108342710882
real,motion,high,bv,0.5,fixed-precond,32,4000,0,0,0.00015306258865166456
real,motion,high,bv,0.5,fixed-precond,33,4000,0,0,0.00015616812743246555
real,motion,high,bv,0.5,fixed-precond,34,4000,0,0,0.00012592063285410404
real,motion,high,bv,0.5,fixed-precond,35,4000,0,0,0.18744458258152008
real,motion,high,bv,0.5,fixed-precond,36,4000,0,0,0.00013433104322757572
real,motion,high,bv,0.5,fixed-precond,37,4000,0,0,0.00012997398152947426
real,motion,high,bv,0.5,fixed-precond,38,4000,0,0,0.00017812424630392343
real,motion,high,bv,0.5,fixed-precond,39,4000,0,0,0.00010908092372119427
real,motion,high,bv,0.5,fixed-precond,40,4000,0,0,8.741181954974309e-05
real,motion,high,bv,0.5,fixed-precond,41,4000,0,0,0.23392586410045624
real,motion,high,bv,0.5,fixed-precond,42,4000,0,0,7.301862933672965e-05
real,motion,high,bv,0.5,fixed-precond,43,4000,0,0,0.00014104823640082031
real,motion,high,bv,0.5,fixed-precond,44,4000,0,0,0.00011429790174588561
real,motion,high,bv,0.5,fixed-precond,45,4000,0,0,8.621266897534952e-05
real,motion,high,bv,0.5,fixed-precond,46,4000,0,0,0.00010652533819666132
real,motion,high,bv,0.5,fixed-precond,47,4000,0,0,7.465193630196154e-05
real,motion,high,bv,0.5,fixed-precond,48,4000,0,0,0.0001495726319262758
real,motion,high,bv,0.5,fixed-precond,49,4000,0,0,0.0001882669748738408
