data,blur,noise,image_index,ref_self_gap_50k_100k,old_fbhf4000_gap_to_ref,last_pdhg_rel_step,fixed_minus_learned_absdiff,fixed_better_than_learned,learned_better_than_fixed,cv_better_than_learned,ref_steps,ref_time_s
real,train,high,40,3.560321033546643e-07,1.1400336916267406e-05,9.262319622393989e-08,3.463323810137808e-05,0,1,1,100000,78.57662151753902
real,train,high,41,9.490624961472349e-07,7.10805834387429e-05,6.471512392636214e-08,0.00013595214113593102,0,1,1,100000,78.57662151753902
real,train,high,42,7.744220056338236e-07,0.0019865145441144705,5.797745217250849e-08,0.000490062462631613,0,1,0,100000,78.57662151753902
real,train,high,43,9.971757890525623e-07,2.2348274796968326e-05,7.60886749162637e-08,5.5659278586972505e-05,0,1,1,100000,78.57662151753902
real,train,high,44,1.3428644933810574e-06,0.0002074781950796023,4.569719536107186e-08,7.429442484863102e-05,1,0,1,100000,78.57662151753902
real,train,high,45,2.0578895600920077e-06,3.790732444031164e-05,9.110505772014221e-08,7.949918654048815e-05,0,1,1,100000,78.57662151753902
real,train,high,46,1.697650532150874e-06,0.000315879617119208,5.3534339627958616e-08,0.00013496335304807872,0,1,0,100000,78.57662151753902
real,train,high,47,9.520419439468242e-07,2.0615043467842042e-05,7.148656777644646e-08,5.974197119940072e-05,0,1,1,100000,78.57662151753902
real,train,high,48,1.0653714070940623e-06,0.0003694914630614221,7.379429689535755e-08,0.0001630124170333147,1,0,1,100000,78.57662151753902
real,train,high,49,4.5086832756169315e-07,1.743334905768279e-05,7.161757054063855e-08,3.97556068492122e-05,0,1,1,100000,78.57662151753902
real,train,high,50,1.6541079048693064e-06,4.822639675694518e-05,1.1483987094607073e-07,0.00016667124873492867,0,1,1,100000,78.57662151753902
real,train,high,51,1.1380749356248998e-06,0.0006481560994870961,7.450475436598936e-08,0.00017321488121524453,1,0,1,100000,78.57662151753902
real,train,high,52,6.922729198777233e-07,0.00024076091358438134,8.583666044614802e-08,4.9790425691753626e-05,0,1,0,100000,78.57662151753902
real,train,high,53,5.508553613253753e-07,1.5577117665088736e-05,8.899218784108598e-08,3.724390990100801e-05,0,1,1,100000,78.57662151753902
real,train,high,54,8.515376066497993e-07,0.00012083796900697052,6.240249206257431e-08,3.8835587474750355e-05,0,1,0,100000,78.57662151753902
real,train,high,55,1.4872593965264969e-06,3.182907312293537e-05,3.470843168429383e-08,0.0002195727574871853,0,1,1,100000,78.57662151753902
real,train,high,56,1.6714950561436126e-06,0.0001057083863997832,8.064836976018341e-08,2.5903987989295274e-05,0,1,1,100000,78.57662151753902
real,train,high,57,1.0373660188633949e-06,9.335778304375708e-05,9.217396979011028e-08,6.24572130618617e-05,0,1,1,100000,78.57662151753902
real,train,high,58,1.2629249113160768e-06,3.045930679945741e-05,4.349129056890888e-08,0.00017745295190252364,0,1,1,100000,78.57662151753902
real,train,high,59,1.3665099913851009e-06,3.09340248350054e-05,6.739773539266025e-08,7.863438804633915e-05,0,1,1,100000,78.57662151753902
real,train,high,60,1.8950695448438637e-06,6.251747254282236e-05,7.156739911806653e-08,0.00017862279491964728,0,1,1,100000,78.57662151753902
real,train,high,61,6.148330840005656e-07,1.8177099263994023e-05,9.785227916836448e-08,8.444819832220674e-05,0,1,1,100000,78.57662151753902
real,train,high,62,1.5815614915482001e-06,0.00015228627307806164,1.0349423718025719e-07,3.8795369619037956e-05,0,1,1,100000,78.57662151753902
real,train,high,63,5.603771455753304e-07,1.774322117853444e-05,6.47761311256545e-08,4.841624104301445e-05,0,1,1,100000,78.57662151753902
real,wide,high,0,1.5205833733489271e-05,0.0004734533140435815,3.41207169185509e-08,0.00018857032409869134,0,1,1,100000,78.56296012178063
real,wide,high,1,1.3188467846703134e-06,0.00017094510258175433,1.0735871569522715e-07,0.00017447493155486882,0,1,1,100000,78.56296012178063
real,wide,high,2,1.2889405525129405e-06,2.067128662019968e-05,5.43937339614331e-08,0.00011200057633686811,0,1,1,100000,78.56296012178063
real,wide,high,3,1.462222712689254e-06,0.000481768132885918,3.484561617028703e-08,0.00010260374983772635,0,1,0,100000,78.56296012178063
real,wide,high,4,7.840741318432265e-07,1.8401680790702812e-05,1.5238295247854694e-07,9.989602403948084e-05,0,1,1,100000,78.56296012178063
real,wide,high,5,1.5540545064141043e-06,0.0004191487096250057,3.54291351811753e-08,2.1373823983594775e-05,1,0,1,100000,78.56296012178063
real,wide,high,6,1.7903652178574703e-06,8.402140520047396e-05,5.3718451908935094e-08,0.000236309424508363,0,1,1,100000,78.56296012178063
real,wide,high,7,1.3486135230778018e-06,0.0020171625073999166,6.395821117166633e-08,0.0002359770005568862,0,1,0,100000,78.56296012178063
real,wide,high,8,1.5823849253138178e-06,3.979512621299364e-05,4.4428904999449514e-08,8.977868128567934e-05,0,1,1,100000,78.56296012178063
real,wide,high,9,1.0293897503288463e-06,0.00028456011204980314,7.635064491751109e-08,0.0002678809833014384,1,0,1,100000,78.56296012178063
real,wide,high,10,1.3491372783391853e-06,9.170600242214277e-05,1.5591145086091274e-07,9.859088459052145e-05,0,1,1,100000,78.56296012178063
real,wide,high,11,1.9161011550750118e-06,0.00028329601627774537,4.048082402619002e-08,6.94459886290133e-05,0,1,1,100000,78.56296012178063
real,wide,high,12,1.6116536016852478e-06,4.4399304897524416e-05,4.15978469447964e-08,0.00023322243941947818,0,1,1,100000,78.56296012178063
real,wide,high,13,1.7407180621376028e-06,0.0002847379364538938,8.528790829132049e-08,4.7917477786540985e-05,0,1,0,100000,78.56296012178063
real,wide,high,14,1.680097057032981e-06,5.1020888349739835e-05,4.067963033094202e-08,0.0002444313431624323,0,1,1,100000,78.56296012178063
real,wide,high,15,8.637599080429936e-07,7.850409019738436e-05,8.628724401660293e-08,2.1892396034672856e-05,0,1,1,100000,78.56296012178063
real,wide,high,16,2.3659954422328155e-06,0.00013461106573231518,3.674684379006976e-08,0.00012789622996933758,0,1,1,100000,78.56296012178063
real,wide,high,17,1.1649119642243022e-06,0.0002746008976828307,4.5090164491057294e-08,0.0001759576116455719,0,1,0,100000,78.56296012178063
real,wide,high,18,1.7591694358998211e-06,0.00010216989176115021,5.909425482286679e-08,7.784977788105607e-05,0,1,1,100000,78.56296012178063
real,wide,high,19,3.270233037255821e-06,0.0005376423941925168,5.3778723696495945e-08,0.00020498063531704247,0,1,0,100000,78.56296012178063
real,wide,high,20,1.0893286344071385e-06,5.128210978000425e-05,4.9074746044652784e-08,8.813901513349265e-05,0,1,1,100000,78.56296012178063
real,wide,high,21,1.4198810731613776e-06,8.993455412564799e-05,3.5195956371580905e-08,0.00010453238792251796,0,1,1,100000,78.56296012178063
real,wide,high,22,2.9179323064454366e-06,0.00016844428319018334,4.927177599256538e-08,0.00020304588542785496,0,1,1,100000,78.56296012178063
real,wide,high,23,1.9925093965866836e-06,0.0008673108532093465,4.497837480244016e-08,7.448898395523429e-05,1,0,0,100000,78.56296012178063
real,wide,high,24,2.781499688353506e-06,6.376365490723401e-05,6.926279638719279e-08,0.00010850290709640831,0,1,1,100000,78.56296012178063
real,wide,high,25,1.4445502074522665e-06,0.0006471455562859774,8.199936019082088e-08,0.00023918651277199388,1,0,1,100000,78.56296012178063
real,wide,high,26,1.2462229506127187e-06,0.0008477311348542571,3.676123938589626e-08,1.5330500900745392e-05,1,0,1,100000,78.56296012178063
real,wide,high,27,1.8470481109034154e-06,3.6197299777995795e-05,3.673503101708775e-08,0.0003277258074376732,0,1,1,100000,78.56296012178063
real,wide,high,28,1.3390039157457068e-06,7.005352381384e-05,4.071426928931032e-08,0.00043375210952945054,0,1,1,100000,78.56296012178063
real,wide,high,29,1.599065171831171e-06,0.00013276234676595777,4.386391694310987e-08,0.00029545865254476666,0,1,1,100000,78.56296012178063
