method,image_index,rel_primal_error_K,oracle_K
certified-learned,46,0.0005975088570266962,4000
certified-learned,47,0.00015197793254628778,4000
certified-learned,48,5.7511111663188785e-05,4000
certified-learned,49,0.0003591860586311668,4000
certified-learned,50,0.00041329991654492915,4000
certified-learned,51,0.0004564109549392015,4000
certified-learned,52,5.852094909641892e-05,4000
certified-learned,53,0.0002388989378232509,4000
certified-learned,54,0.0002496162778697908,4000
certified-learned,55,6.391062925104052e-05,4000
certified-learned,56,0.00010168040898861364,4000
certified-learned,57,0.0010953552555292845,4000
certified-learned,58,0.0003440086147747934,4000
certified-learned,59,0.00017955394287128001,4000
certified-learned,60,0.00024196921731345356,4000
certified-learned,61,0.00015864244778640568,4000
certified-learned,62,0.0005639148293994367,4000
certified-learned,63,0.00046323041897267103,4000
